Rent,Beds,Baths,Area_in_sqft,log_area,property_rank_in_location,area_deviation_from_location,location_type_premium,furnishing_type_premium,bath_bed_ratio,area_per_bedroom,type_room_premium,Location,Type,Furnishing
29000,0,1,450,6.111467339502679,0.0693768257059396,-0.8558523660682585,0.4215707343675354,0.9962982747044148,1.0,450.0,0.7630233435089949,Mohammed Bin Zayed City,Apartment,Unfurnished
160000,5,7,5000,8.517393171418904,0.8230282375851996,0.4664001415975153,1.3332583646764185,0.9962982747044148,1.1666666666666667,833.3333333333334,1.73912046358283,Mohammed Bin Zayed City,Villa,Unfurnished
37000,1,1,1725,7.453561871643373,0.2242424242424242,-0.509296305664613,0.3807924137722772,0.9962982747044148,0.5,862.5,0.7630233435089949,Shakhbout City,Apartment,Unfurnished
65000,1,2,850,6.7464121285733745,0.5239043824701195,-0.5921236998752707,0.5737426331567855,1.0480048785486198,1.0,425.0,0.7630233435089949,Al Nahyan,Apartment,Furnished
72500,1,2,1103,7.00669522683704,0.1422087745839637,-0.5174466745640867,1.2926233664882631,0.9962982747044148,1.0,551.5,0.7630233435089949,Saadiyat Island,Apartment,Unfurnished
109999,2,3,1565,7.356279876550748,0.6743456924754635,0.3397911004547252,0.8446181966312187,0.9962982747044148,1.0,521.6666666666666,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
117000,2,3,1570,7.359467638255621,0.3736762481089258,-0.2625225846607802,1.2926233664882631,0.9962982747044148,1.0,523.3333333333334,0.7630233435089949,Saadiyat Island,Apartment,Unfurnished
85000,2,3,1253,7.134093721192866,0.4817339149400218,-0.143455042171976,0.8446181966312187,0.9962982747044148,1.0,417.6666666666667,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
41000,2,1,2100,7.650168700845001,0.3279009126466753,-0.4946148714899387,0.3399731209065741,0.9962982747044148,0.3333333333333333,700.0,0.7630233435089949,Madinat Al Riyadh,Apartment,Unfurnished
80000,1,2,936,6.842683282238422,0.4118047982551799,-0.6344455140074386,0.8446181966312187,1.0480048785486198,1.0,468.0,0.7630233435089949,Al Reem Island,Apartment,Furnished
78000,2,4,1650,7.409136443920128,0.2414269911504424,-0.0528341538864467,1.0128873490635075,0.9962982747044148,1.3333333333333333,550.0,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
115000,1,2,970,6.878326468291325,0.7235550708833152,-0.5817840753878621,0.8446181966312187,0.9962982747044148,1.0,485.0,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
200000,6,8,6500,8.77971129020447,0.928919182083739,0.9023075617071112,1.3332583646764185,0.9962982747044148,1.1428571428571428,928.5714285714286,1.73912046358283,Mohammed Bin Zayed City,Villa,Unfurnished
240000,4,6,3519,8.166216268592143,0.6538461538461539,-0.2113279047919309,2.020602974480654,0.9962982747044148,1.2,703.8,1.73912046358283,Abu Dhabi Gate City (Officers City),Villa,Unfurnished
110000,3,4,4000,8.294299608857235,0.5382181110029212,0.1757951948577848,1.3332583646764185,0.9962982747044148,1.0,1000.0,1.73912046358283,Mohammed Bin Zayed City,Villa,Unfurnished
45000,2,2,1200,7.0909098220799835,0.4035202086049543,-0.6684483768019459,0.3399731209065741,0.9962982747044148,0.6666666666666666,400.0,0.7630233435089949,Madinat Al Riyadh,Apartment,Unfurnished
67000,2,3,1800,7.496097345175956,0.6277717193747728,-0.2228021716294603,0.3943848198900072,0.9962982747044148,1.0,600.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
93000,2,2,1181,7.074963197966044,0.266553480475382,-0.47731437047093,0.9394332373565368,0.9962982747044148,0.6666666666666666,393.6666666666667,0.7630233435089949,Yas Island,Apartment,Unfurnished
64995,1,2,951,6.858565034791365,0.1650763358778626,-0.6112125263811549,0.8446181966312187,0.9962982747044148,1.0,475.5,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
200000,3,4,2477,7.815207062189088,0.9666666666666668,-0.2263998226466552,1.3783584149956285,0.9962982747044148,1.0,619.25,1.73912046358283,Baniyas,Villa,Unfurnished
31000,0,1,600,6.398594934535208,0.2246455834242093,-0.5709783557048328,0.3943848198900072,0.9962982747044148,1.0,600.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
80000,2,3,1260,7.13966033596492,0.1546762589928057,-0.1463569262330597,1.1494623604006615,0.9962982747044148,1.0,420.0,0.7630233435089949,Al Markaziya,Apartment,Unfurnished
